,country_or_area,exports,gross demand,gross production,imports,total geothermal production,total hydro production,"total production, autoproducer","total production, main activity",total solar production,"total tide, wave production",total wind production,total RE production,RE production %,RE production to demand %,sub
114,Lao People's Dem. Rep.,2020.0,2530.367,3802.47,747.897,0.0,3309.17,193.3,3609.17,193.3,0.0,0.0,3502.4700000000003,92.11039140348248,138.41747066729846,46.30707926381598
115,Latvia,3244.0,7407.0,6167.0,4935.0,0.0,3707.0,183.0,5984.0,0.0,0.0,114.0,3707.0,60.110264310037294,50.047252598892946,-10.063011711144348
116,Lebanon,0.0,15149.0,14826.0,323.0,0.0,1007.0,6000.0,8826.0,0.0,0.0,0.0,1007.0,6.792121947929314,6.647303452373094,-0.14481849555621995
117,Lesotho,21.0,774.3,485.4,309.9,0.0,485.4,0.0,485.4,0.0,0.0,0.0,485.4,100.0,62.68888027896165,-37.31111972103835
118,Liberia,0.0,280.0,300.0,0.0,0.0,0.0,200.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Libya,14.0,33228.0,34275.0,61.0,0.0,0.0,0.0,34275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Liechtenstein,0.0,404.0,85.9,318.1,0.0,73.5,0.0,85.9,8.7,0.0,0.0,82.2,95.69266589057042,20.346534653465348,-75.34613123710508
121,Lithuania,1441.0,10607.0,5043.0,8060.0,0.0,937.0,787.0,4256.0,2.0,0.0,540.0,939.0,18.619869125520523,8.852644480060338,-9.767224645460185
122,Luxembourg,2622.0,6379.0,3818.0,6732.0,0.0,1160.0,225.0,3593.0,38.0,0.0,77.0,1198.0,31.37768465165008,18.780373099231852,-12.597311552418226
123,Madagascar,0.0,1497.0,1520.16,0.0,0.0,755.352,170.0,1350.16,0.008,0.0,0.0,755.36,49.68950636775077,50.458249832999336,0.7687434652485692
124,Malawi,17.9,1908.1,2026.51,0.0,0.0,1845.5,181.01,1845.5,0.0,0.0,0.0,1845.5,91.06789505109771,96.71924951522458,5.651354464126868
125,Malaysia,15.0,122962.74,134420.743,100.0,0.0,9054.0,6154.0,128266.743,47.743,0.0,0.0,9101.743,6.771085173960094,7.402033331397788,0.6309481574376941
126,Maldives,0.0,287.2,299.0,0.0,0.0,0.0,0.0,299.0,1.8,0.0,0.0,1.8,0.6020066889632106,0.626740947075209,0.024734258111998364
127,Mali,368.0,994.5,1362.5,0.0,0.0,783.34,52.0,1310.5,0.0,0.0,0.0,783.34,57.49284403669726,78.76721970839618,21.274375671698927
128,Malta,0.0,2172.0,2307.0,0.0,0.0,0.0,26.0,2281.0,30.0,0.0,0.0,30.0,1.3003901170351104,1.3812154696132597,0.08082535257814927
129,Marshall Islands,0.0,77.7,77.7,0.0,0.0,0.0,0.0,77.7,0.2,0.0,0.0,0.2,0.2574002574002574,0.2574002574002574,0.0
130,Martinique,0.0,1591.0,1780.487,0.0,0.0,0.0,30.0,1750.487,42.9,0.0,1.665,42.9,2.4094531439993663,2.6964173475801383,0.286964203580772
131,Mauritania,0.0,921.1,824.3,115.0,0.0,0.0,323.4,500.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Mauritius,0.0,2754.1,2797.5,0.0,0.0,74.1,1651.8,1145.7,0.9,0.0,3.6,75.0,2.680965147453083,2.7232126647543664,0.04224751730128329
133,Mayotte,0.0,256.9,270.9,0.0,0.0,0.0,0.0,270.9,15.4,0.0,0.0,15.4,5.684754521963825,5.994550408719347,0.3097958867555217
134,Mexico,1116.0,285466.0,307268.0,2177.0,5817.0,31883.0,45027.0,262241.0,69.0,0.0,3688.0,37769.0,12.29187549630941,13.230647432618948,0.9387719363095375
135,Micronesia (Fed. States of),0.0,67.28,67.28,0.0,0.0,0.0,0.0,67.28,2.0,0.0,0.0,2.0,2.972651605231867,2.972651605231867,0.0
136,Mongolia,21.2,4814.0,5181.6,366.0,0.0,0.0,366.0,4815.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Montenegro,228.0,3439.0,2844.0,964.0,0.0,1477.0,0.0,2844.0,0.0,0.0,0.0,1477.0,51.93389592123769,42.948531549869145,-8.985364371368547
138,Montserrat,0.0,21.0,23.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Morocco,0.0,31054.8,26495.3,4841.0,0.0,1816.0,139.3,26356.0,0.0,0.0,728.0,1816.0,6.854045811898714,5.847727243453508,-1.0063185684452058
140,Mozambique,9791.0,13469.0,15166.0,8304.0,0.0,15145.0,263.0,14903.0,0.0,0.0,0.0,15145.0,99.86153237504945,112.4433885217908,12.581856146741345
141,Myanmar,0.0,10779.05,10964.9,0.0,0.0,7766.24,41.74,10923.16,0.0,0.0,0.0,7766.24,70.8281881275707,72.04939210783881,1.2212039802681147
142,Namibia,88.0,3676.0,1538.0,2226.0,0.0,1471.0,0.0,1538.0,0.0,0.0,0.0,1471.0,95.64369310793238,40.016322089227415,-55.62737101870496
143,Nauru,0.0,23.6,23.7,0.0,0.0,0.0,0.0,23.7,0.1,0.0,0.0,0.1,0.42194092827004226,0.423728813559322,0.0017878852892797559
144,Nepal,4.0,4308.0,3543.0,793.0,0.0,3533.0,84.0,3459.0,0.0,0.0,0.0,3533.0,99.71775331639853,82.01021355617456,-17.707539760223966
145,Netherlands,15046.0,115757.0,103298.0,32156.0,0.0,104.0,25148.0,78150.0,226.0,0.0,4981.0,330.0,0.31946407481267786,0.2850799519683475,-0.034384122844330345
146,New Caledonia,0.0,2259.0,2287.9,0.0,0.0,399.3,23.6,2264.3,4.8,0.0,57.1,404.1,17.66248524848114,17.888446215139442,0.22596096665830245
147,New Zealand,0.0,42806.0,44260.0,0.0,6194.0,22901.0,1374.0,42886.0,5.0,0.0,2076.0,29100.0,65.7478535924085,67.98112414147549,2.2332705490669866
148,Nicaragua,3.0,3696.0,4031.0,20.0,523.0,419.0,502.0,3529.0,0.0,0.0,330.0,942.0,23.368891094021336,25.487012987012985,2.118121892991649
149,Niger,4.22,979.649,391.743,636.7,0.0,0.0,53.537,338.206,0.005,0.0,0.0,0.005,0.0012763469927988503,0.0005103868834654045,-0.0007659601093334458
150,Nigeria,0.0,27884.0,28706.0,0.0,0.0,5659.0,7435.0,21271.0,0.0,0.0,0.0,5659.0,19.71364871455445,20.294792712666762,0.5811439981123137
151,Niue,0.0,3.16,3.32944444444444,0.0,0.0,0.0,0.0,3.32944444444444,0.0644444444444444,0.0,0.0,0.0644444444444444,1.9355915234440195,2.0393811533052024,0.1037896298611829
152,Northern Mariana Islands,0.0,410.7,410.7,0.0,0.0,0.0,0.0,410.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Norway,22006.0,126867.0,147716.0,4190.0,0.0,142812.0,8619.0,139097.0,0.0,0.0,1548.0,142812.0,96.68011589807467,112.56828016741942,15.888164269344742
154,Oman,0.0,24365.0,25017.0,0.0,0.0,0.0,0.0,25017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Other Asia,0.0,235630.0,250336.0,0.0,0.0,8606.0,34223.0,216113.0,276.0,0.0,1262.0,8882.0,3.5480314457369295,3.769469082884183,0.2214376371472535
156,Pakistan,0.0,93160.0,96126.0,375.0,0.0,29857.0,40174.0,55952.0,0.0,0.0,0.0,29857.0,31.060275055656117,32.049162730785746,0.9888876751296287
157,Palau,0.0,72.5,77.5,0.0,0.0,0.0,6.0,71.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Panama,59.0,8558.0,8605.6,19.0,0.0,5388.0,25.6,8580.0,0.0,0.0,0.0,5388.0,62.61039323231385,62.95863519513906,0.34824196282521314
159,Papua New Guinea,0.0,3763.0,3764.0,0.0,422.0,983.0,2868.0,896.0,0.0,0.0,0.0,1405.0,37.327311370882036,37.33723093276641,0.009919561884373707
160,Paraguay,47662.72,12067.4,60234.61,0.0,0.0,60231.54,0.0,60234.61,0.0,0.0,0.0,60231.54,99.9949032624267,499.1260752108988,399.1311719484721
161,Peru,2.0,39483.0,40043.9,5.0,0.0,22031.9,2674.9,37369.0,59.7,0.0,1.2,22091.600000000002,55.16845262324599,55.95218195172607,0.7837293284800779
162,Philippines,0.0,67605.0,72955.9,0.0,10250.0,10269.1,34.0,72921.9,1.3,0.0,75.3,20520.399999999998,28.127128854554602,30.353376229568816,2.226247375014214
163,Poland,12643.0,144162.0,162139.0,9803.0,0.0,2465.0,8449.0,153690.0,1.0,0.0,4747.0,2466.0,1.5209172376787818,1.710575602447247,0.1896583647684651
164,Portugal,2871.0,51817.0,46614.0,10766.0,146.0,6660.0,8344.0,38270.0,393.0,0.0,10259.0,7199.0,15.443858068391469,13.893123878263891,-1.550734190127578
